AISP 06-BROTAS,5,5,12,2,183,0,7,36,
AISP 07-RIO VERMELHO,3,6,3,0,104,0,2,26,
AISP 09-BOCA DO RIO,2,0,7,0,3,1,0,35,
AISP 12-ITAPUÃ,4,2,5,0,142,1,6,78,
AISP 14-BARRA,2,0,1,0,5,0,0,5,
AISP 15-NORDESTE,0,0,1,0,20,0,2,3,
AISP 16-PITUBA,0,4,7,0,46,0,0,21,
AISP 01-BARRIS,6,1,9,1,163,0,14,15,
AISP 02-LIBERDADE,4,0,3,0,94,1,6,28,
AISP 03-BONFIM,9,3,11,0,189,1,7,23,
AISP 04-SÃO CAETANO,9,2,19,0,20,2,0,47,
AISP 05-PERIPERI,7,1,39,0,68,0,8,32,
AISP 08-CIA,0,0,15,0,14,1,1,19,
AISP 10-PAU DA LIMA,6,6,7,0,170,2,6,62,
AISP 11-TANCREDO NEVES,9,3,35,1,253,2,7,68,
AISP 13-CAJAZEIRAS,3,0,11,0,53,1,2,22,
