month,aisp,furto-veiculo,roubo-comercio,roubo-coletivo,roubo-residencia,roubo-transeunte,roubo-carga,uso-drogas,roubo-veiculo
7,AISP 09-BOCA DO RIO,1,0,2,0,10,0,0,15
7,AISP 12-ITAPUÃ,3,1,1,0,112,0,2,39
7,AISP 14-BARRA,0,0,0,0,3,0,3,1
7,AISP 15-NORDESTE,0,0,5,0,5,0,0,0
7,AISP 16-PITUBA,3,3,6,0,28,0,1,8
7,AISP 01-BARRIS,7,0,11,0,83,0,9,12
7,AISP 02-LIBERDADE,4,1,3,1,104,0,2,15
7,AISP 03-BONFIM,6,0,8,0,134,2,2,8
7,AISP 04-SÃO CAETANO,8,0,7,0,21,0,0,39
7,AISP 05-PERIPERI,10,4,19,1,92,1,3,24
7,AISP 08-CIA,2,0,3,0,6,1,6,7
7,AISP 10-PAU DA LIMA,9,0,3,0,73,2,0,36
7,AISP 11-TANCREDO NEVES,12,0,12,0,22,0,1,31
7,AISP 13-CAJAZEIRAS,3,0,8,1,68,0,1,14
8,AISP 06-BROTAS,11,4,8,0,120,0,1,6
8,AISP 07-RIO VERMELHO,3,3,3,0,64,0,4,10
8,AISP 09-BOCA DO RIO,7,0,0,0,4,0,0,10
8,AISP 12-ITAPUÃ,11,3,7,0,150,0,2,29
8,AISP 14-BARRA,0,1,0,0,2,0,0,4
8,AISP 15-NORDESTE,1,0,7,0,12,0,0,0
8,AISP 16-PITUBA,7,0,6,0,2,0,0,9
8,AISP 01-BARRIS,2,1,5,0,116,0,12,8
8,AISP 02-LIBERDADE,3,0,3,0,47,0,0,23
8,AISP 03-BONFIM,6,1,9,0,123,1,1,17
8,AISP 04-SÃO CAETANO,8,0,18,0,14,0,1,37
8,AISP 05-PERIPERI,3,3,12,1,75,1,7,19
8,AISP 08-CIA,0,0,1,0,16,1,8,11
8,AISP 10-PAU DA LIMA,6,0,1,0,7,0,0,27
8,AISP 11-TANCREDO NEVES,14,1,14,0,33,1,2,28
8,AISP 13-CAJAZEIRAS,4,0,8,0,88,0,3,30
9,AISP 06-BROTAS,8,3,4,0,127,0,1,15
9,AISP 07-RIO VERMELHO,1,1,4,0,95,0,4,12
9,AISP 09-BOCA DO RIO,4,0,0,0,0,0,0,16
9,AISP 12-ITAPUÃ,10,3,4,0,118,1,0,24
9,AISP 14-BARRA,1,0,0,0,0,0,7,4
9,AISP 15-NORDESTE,0,0,5,0,5,0,0,1
9,AISP 16-PITUBA,1,0,7,0,2,0,0,7
9,AISP 01-BARRIS,5,1,5,0,91,0,10,5
9,AISP 02-LIBERDADE,3,0,8,0,13,0,1,16
9,AISP 03-BONFIM,5,0,16,0,193,1,3,19
9,AISP 04-SÃO CAETANO,2,0,10,0,15,0,3,31
9,AISP 05-PERIPERI,5,1,14,2,96,0,3,26
9,AISP 08-CIA,0,0,3,0,17,1,3,9
9,AISP 10-PAU DA LIMA,11,0,1,0,2,0,0,32
9,AISP 11-TANCREDO NEVES,15,0,14,0,6,1,0,27
9,AISP 13-CAJAZEIRAS,1,0,6,0,62,0,2,18
