month,aisp,feminicidio,homicidio-doloso,morte-intervencao-policial,homicidio-doloso-transito,homicidio-doloso-prisao,lesao-corporal-morte,latrocinio,tentativa-homicidio,estupro
7,AISP 09-BOCA DO RIO,0,0,0,0,0,0,0,1,0
7,AISP 12-ITAPUÃ,0,5,1,0,0,0,0,1,3
7,AISP 15-NORDESTE,0,0,0,0,0,0,0,1,0
7,AISP 16-PITUBA,0,0,0,0,0,0,0,1,1
7,AISP 01-BARRIS,0,2,0,0,0,0,0,1,0
7,AISP 02-LIBERDADE,0,7,0,0,0,0,0,1,2
7,AISP 03-BONFIM,0,9,0,0,0,0,1,0,4
7,AISP 04-SÃO CAETANO,0,3,0,0,0,0,0,0,5
7,AISP 05-PERIPERI,0,16,0,0,0,0,0,3,7
7,AISP 08-CIA,0,1,0,0,0,0,0,0,3
7,AISP 10-PAU DA LIMA,0,7,0,0,0,0,1,0,4
7,AISP 11-TANCREDO NEVES,0,13,0,0,0,0,1,2,3
7,AISP 13-CAJAZEIRAS,0,7,0,0,0,0,0,0,1
8,AISP 06-BROTAS,0,1,0,0,0,0,1,0,2
8,AISP 07-RIO VERMELHO,0,1,0,0,0,0,0,2,1
8,AISP 09-BOCA DO RIO,0,1,0,0,0,0,0,0,0
8,AISP 12-ITAPUÃ,0,9,0,0,0,0,0,0,2
8,AISP 14-BARRA,0,0,0,0,0,0,0,0,1
8,AISP 15-NORDESTE,0,0,0,0,0,0,0,3,0
8,AISP 16-PITUBA,0,0,0,0,0,0,0,2,0
8,AISP 01-BARRIS,0,2,0,0,0,0,0,0,3
8,AISP 02-LIBERDADE,0,1,0,0,0,0,0,0,2
8,AISP 03-BONFIM,0,4,0,0,0,0,0,2,0
8,AISP 04-SÃO CAETANO,0,9,0,0,0,0,0,0,5
8,AISP 05-PERIPERI,0,17,0,0,0,0,0,5,8
8,AISP 08-CIA,0,0,0,0,0,0,0,0,1
8,AISP 10-PAU DA LIMA,0,9,0,0,0,1,0,0,2
8,AISP 11-TANCREDO NEVES,0,13,0,0,0,1,0,2,4
8,AISP 13-CAJAZEIRAS,0,6,0,0,0,0,0,1,4
9,AISP 06-BROTAS,0,1,0,0,0,0,0,0,5
9,AISP 07-RIO VERMELHO,0,1,0,0,0,0,0,0,1
9,AISP 09-BOCA DO RIO,0,2,0,0,0,0,0,0,2
9,AISP 12-ITAPUÃ,0,7,0,0,0,0,0,0,6
9,AISP 14-BARRA,0,0,0,0,0,0,0,1,0
9,AISP 16-PITUBA,0,0,0,0,0,0,0,1,2
9,AISP 01-BARRIS,0,5,0,0,0,0,0,0,0
9,AISP 02-LIBERDADE,0,8,0,0,0,1,0,0,0
9,AISP 03-BONFIM,0,4,0,0,0,0,0,2,0
9,AISP 04-SÃO CAETANO,0,9,0,0,0,0,0,0,5
9,AISP 05-PERIPERI,0,24,0,0,0,0,0,9,7
9,AISP 08-CIA,0,1,0,0,0,0,0,0,0
9,AISP 10-PAU DA LIMA,0,6,0,0,0,0,0,0,2
9,AISP 11-TANCREDO NEVES,0,9,0,0,0,0,0,0,3
9,AISP 13-CAJAZEIRAS,0,6,1,0,0,0,0,3,1
