AISP 06-BROTAS,1,3,19,0,215,0,7,25,
AISP 07-RIO VERMELHO,7,7,1,0,205,0,5,8,
AISP 09-BOCA DO RIO,7,0,6,0,3,1,0,26,
AISP 12-ITAPUÃ,16,3,16,1,168,0,6,80,
AISP 14-BARRA,1,0,0,0,14,0,0,5,
AISP 15-NORDESTE,1,0,8,0,21,1,0,3,
AISP 16-PITUBA,1,1,8,0,63,0,3,16,
AISP 01-BARRIS,4,2,4,0,148,0,5,18,
AISP 02-LIBERDADE,2,5,3,0,164,0,7,20,
AISP 03-BONFIM,4,4,11,1,226,1,3,15,
AISP 04-SÃO CAETANO,2,1,29,0,45,0,0,51,
AISP 05-PERIPERI,5,1,38,0,102,0,7,29,
AISP 08-CIA,0,0,14,0,15,3,3,4,
AISP 10-PAU DA LIMA,5,7,8,1,140,0,1,35,
AISP 11-TANCREDO NEVES,9,4,47,0,145,1,4,56,
AISP 13-CAJAZEIRAS,4,0,9,0,49,0,4,32,
